,Revenue,Label
2019-01-01,13592.9,Actual
2019-02-01,12056.32,Actual
2019-03-01,22004.13,Actual
2019-04-01,11650.2,Actual
2019-05-01,10213.0,Actual
2019-06-01,12128.71,Actual
2019-07-01,6164.9,Actual
2019-08-01,29682.7,Actual
2019-09-01,25981.32,Actual
2019-10-01,39811.61,Actual
2019-11-01,75966.98,Actual
2019-12-01,67246.73,Actual
2020-01-01,45268.4,Actual
2020-02-01,62954.97,Actual
2020-03-01,21454.62,Actual
2020-04-01,25386.5,Actual
2020-05-01,29318.38,Actual
2020-06-01,33250.26,Actual
2020-07-01,157447.6,Actual
2020-08-01,178230.53,Actual
2020-09-01,94224.51,Actual
2020-10-01,78531.98,Actual
2020-11-01,68926.62,Actual
2020-12-01,49533.15,Actual
2021-01-01,73978.61,Actual
2021-02-01,88677.97,Actual
2021-03-01,119753.87,Actual
2021-04-01,86732.35,Actual
2021-05-01,76041.87,Actual
2021-06-01,201518.8,Actual
2021-07-01,209316.95,Actual
2021-08-01,43640.71,Actual
2021-09-01,84929.21,Actual
2021-10-01,97392.02,Actual
2021-11-01,94197.37,Actual
2021-12-01,82407.99,Actual
2022-01-01,125019.56,Actual
2022-02-01,180228.36,Actual
2022-03-01,220002.21,Actual
2022-04-01,112482.04,Actual
2022-05-01,147431.83,Actual
2022-06-01,113574.17,Actual
2022-07-01,164631.54,Actual
2022-08-01,166375.86,Actual
2022-09-01,72307.93,Actual
2022-10-01,85910.93,Actual
2022-11-01,121117.06,Actual
2022-12-01,98849.71,Actual
2023-01-01,134717.25,Actual
2023-02-01,167026.7,Actual
2023-03-01,237104.78,Actual
2023-04-01,180764.46,Actual
2023-05-01,285943.36,Actual
2023-06-01,322502.85,Actual
2023-07-01,274089.36,Actual
2023-08-01,276627.68,Actual
2023-09-01,168059.93,Actual
2023-10-01,148969.66,Actual
2023-11-01,128748.77,Actual
2023-12-01,110110.22,Actual
2024-01-01,151504.52,Actual
2024-02-01,202413.28,Actual
2024-03-01,308880.98,Actual
2024-04-01,322050.17,Actual
2024-05-01,269365.88,Actual
2024-06-01,288188.05,Actual
2024-07-01,297219.35,Actual
2024-08-01,237461.42,Actual
2024-09-01,168672.7,Actual
2024-10-01,136879.08,Actual
2024-11-01,110852.07,Actual
2024-12-01,171061.93,Actual
2025-01-01,312146.94,Actual
2025-02-01,272658.68,Actual
2025-03-01,418240.38,Actual
2025-04-01,383482.91,Actual
2025-05-01,394966.68,Actual
2025-06-01,491252.74,Actual
2025-07-01,558362.71,Actual
2025-08-01,436815.3009579269,forecast
2025-09-01,279175.27174963476,forecast
2025-10-01,249441.51356994396,forecast
2025-11-01,236981.05389635294,forecast
2025-12-01,228257.13439886805,forecast
2026-01-01,353668.320930617,forecast
2026-02-01,380456.76618178765,forecast
2026-03-01,540290.9218972396,forecast
2026-04-01,467693.5981508978,forecast
2026-05-01,488047.1926419819,forecast
2026-06-01,573680.4813881875,forecast
2026-07-01,612680.0549182756,forecast
