date,yhat,yhat_lower,yhat_upper
2025-08-01,371580.5823809701,218161.63760597463,632888.6362819021
2025-09-01,262294.02892025525,153997.4166424844,446748.28285787103
2025-10-01,207969.45297795025,122102.42147491366,354220.9275218258
2025-11-01,177045.5130914322,103946.38627106312,301550.2839937624
2025-12-01,234586.17958820998,137729.6095732137,399555.3876299994
2026-01-01,405594.48910566716,238131.85130385228,690822.2101624532
2026-02-01,395483.45415882143,232195.46974587595,673600.7720358942
2026-03-01,620056.2412434462,364046.438383701,1056100.3260398393
2026-04-01,628652.669122338,369093.5652300627,1070742.0369630067
2026-05-01,624387.9137907004,366589.6459939896,1063478.1692724277
2026-06-01,738038.4577147091,433316.04903297185,1257051.4108373462
2026-07-01,704964.69952783,413897.81448173954,1200719.1280173957
2026-08-01,549425.320696954,322577.67713825696,935799.483009642
2026-09-01,387832.51896328386,227703.45969598187,660569.4544929389
2026-10-01,307507.3540502355,180543.0225955262,523757.06438372855
2026-11-01,261782.7344271787,153697.2258889808,445877.42972332466
2026-12-01,346863.2609731956,203649.62654686335,590789.3038677602
2027-01-01,599718.813459788,352105.94644926774,1021460.9685387658
